id,Title,Artist,Genre,Danceability,Energy,Key,dB,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (seconds),Popularity
6DCZcSspjsKoFjzjrWoCd,God's Plan,Drake,Hip-Hop/Rap,75,45,7,-9.211,1,11,3,0.00008290,55,36,77,199,87
3ee8Jmje8o58CHK66QrVC,SAD!,XXXTENTACION,Hip-Hop/Rap,74,61,8,-4.88,1,14,26,0.00372000,12,47,75,167,88
0e7ipj03S05BNilyu5bRz,rockstar (feat. 21 Savage),Post Malone,Hip-Hop/Rap,59,52,5,-6.09,0,7,12,0.00006560,13,13,160,218,89
3swc6WTsr7rl9DqQKQA55,Psycho (feat. Ty Dolla $ign),Post Malone,Hip-Hop/Rap,75,56,8,-8.011,1,11,55,0.00000000,11,46,140,221,85
2G7V7zsVDxg1yRsu7Ew9R,In My Feelings,Drake,Hip-Hop/Rap,84,63,1,-5.833,1,13,6,0.00006000,40,35,91,218,84
7dt6x5M1jzdTEt8oCbisT,Better Now,Post Malone,Hip-Hop/Rap,68,58,10,-5.843,1,4,33,0.00000000,14,34,145,231,88
58q2HKrzhC3ozto2nDdN4,I Like It,Cardi B,Hip-Hop/Rap,82,73,5,-3.998,0,13,10,0.00000000,37,65,136,253,85
7ef4DlsgrMEH11cDZd32M,One Kiss (with Dua Lipa),Calvin Harris,Dance/Electronic,79,86,9,-3.24,0,11,4,0.00002190,8,59,124,215,86
76cy1WJvNGJTj78UqeA5z,IDGAF,Dua Lipa,Pop,84,54,7,-5.975,1,9,4,0.00000000,8,51,97,218,84
08bNPGLD8AhKpnnERrAc6,FRIENDS,Marshmello,Dance/Electronic,63,88,9,-2.384,0,5,21,0.00000000,13,53,95,203,85
1rfofaqEpACxVEHIZBJe6,Havana (feat. Young Thug),Camila Cabello,Pop,77,52,2,-4.333,1,3,18,0.00003560,13,39,105,217,86
0s3nnoMeVWz3989MkNQiR,Lucid Dreams,Juice WRLD,Hip-Hop/Rap,51,57,6,-7.23,0,20,35,0.00000000,34,22,84,240,94
3CA9pLiwRIGtUBiMjbZmR,Nice For What,Drake,Hip-Hop/Rap,59,91,8,-6.474,1,7,9,0.00010900,12,76,93,211,82
7fa9MBXhVfQ8P8Df9OEbD,Girls Like You (feat. Cardi B),Maroon 5,Pop,85,54,0,-6.825,1,5,57,0.00000000,13,45,125,236,81
09IStsImFySgyp0pIQdqA,The Middle,Zedd,Pop,75,66,7,-3.061,1,4,17,0.00000000,11,44,107,185,85
3GCdLUSnKSMJhs4Tj6CV3,All The Stars (with SZA),Kendrick Lamar,Hip-Hop/Rap,70,63,8,-4.946,1,6,6,0.00019400,9,55,97,232,80
2qT1uLXPVPzGgFOx4jtEu,no tears left to cry,Ariana Grande,Pop,70,71,9,-5.507,0,6,4,0.00000311,29,35,122,206,84
39N9RPD9MRb5WmoLzNzPe,X,Nicky Jam,Reggaeton,59,75,9,-4.736,0,6,3,0.00108000,30,69,180,173,79
